token,date,amount
sBTC,11/12/2019,19014276161671731216
sBTC,11/13/2019,15177782407328159413
sBTC,11/14/2019,1345564886234925583
sBTC,11/15/2019,182627642832898774
sBTC,11/16/2019,3337985240667849336
sBTC,11/17/2019,10290954558094443906
sBTC,11/18/2019,2464333238558576040
sBTC,11/19/2019,14433834429279340725
sBTC,11/20/2019,-122379652789834617
sBTC,11/21/2019,35973753157744707036
sBTC,11/22/2019,-199723002519922977
sBTC,11/23/2019,724953816669074495
sBTC,11/24/2019,29756741761521480714
sBTC,11/25/2019,2441302522003090646
sBTC,11/26/2019,211590270874886914
sBTC,11/27/2019,15030398222613428073
sBTC,11/28/2019,12790925443822019965
sBTC,11/29/2019,-5588073715335575779
sBTC,11/30/2019,-294932094781268929
sBTC,12/1/2019,24437616077139970471
sBTC,12/2/2019,8987926425042046894
sBTC,12/3/2019,-2130760262114157420
sBTC,12/4/2019,-5159407719190832773
sBTC,12/5/2019,3128784719740600
sBTC,12/6/2019,67375740856134009
sBTC,12/7/2019,-251464376097287865
sBTC,12/8/2019,471572859665170993
sBTC,12/9/2019,-553042504054918406
sBTC,12/10/2019,-3757105607949323948
sBTC,12/11/2019,-20383601063239816792
sBTC,12/12/2019,605266970784221526
sBTC,12/13/2019,-826132624070138655
sBTC,12/14/2019,-31912976932878533703
sBTC,12/15/2019,-10146216194249870106
sBTC,12/16/2019,633929076168801253
sBTC,12/17/2019,8048003322788568187
sBTC,12/18/2019,-8562412786925047805
sBTC,12/19/2019,6677627609470556109
sBTC,12/20/2019,-810973286284030772
sBTC,12/21/2019,1890285463506272
sBTC,12/22/2019,-322028321740426120
sBTC,12/23/2019,108596518283609133
sBTC,12/24/2019,-192516058412812022
sBTC,12/25/2019,37481167319326144
sBTC,12/26/2019,645338533746454885
sBTC,12/27/2019,-426094137687668861
sBTC,12/28/2019,150482494622420045
sBTC,12/29/2019,22415559888969076012
sBTC,12/30/2019,2201499681167135159
sBTC,12/31/2019,250403981210624327
sBTC,1/1/2020,-362744261088125257
sBTC,1/2/2020,-11828452892135286583
sBTC,1/3/2020,-16610652812833893736
sBTC,1/4/2020,-43829294434224106
sBTC,1/5/2020,-436980079800530018
sBTC,1/6/2020,-44415498082423427
sBTC,1/7/2020,-3021638242495308459
sBTC,1/8/2020,-44992467408684311475
sBTC,1/9/2020,-109322078441806170
sBTC,1/10/2020,233100850730369385
